CMDLINE python do_luvoir_telserv2_BW10_medium.py
MEM 3.531250 1557948085.9883
MEM 10.515625 1557948086.1054
MEM 12.425781 1557948086.2213
MEM 17.949219 1557948086.3359
MEM 20.847656 1557948086.4500
MEM 32.707031 1557948086.5663
MEM 36.046875 1557948086.6796
MEM 36.742188 1557948086.7938
MEM 37.875000 1557948086.9075
MEM 43.062500 1557948087.0234
MEM 47.937500 1557948087.1400
MEM 52.902344 1557948087.2574
MEM 55.796875 1557948087.3709
MEM 61.875000 1557948087.4957
MEM 65.527344 1557948087.6115
MEM 68.503906 1557948087.7271
MEM 241.394531 1557948087.8545
MEM 289.542969 1557948087.9723
MEM 563.582031 1557948088.0943
MEM 659.804688 1557948088.2161
MEM 459.753906 1557948088.3372
MEM 508.957031 1557948088.4589
MEM 291.839844 1557948088.5802
MEM 476.050781 1557948088.7014
MEM 411.835938 1557948088.8245
MEM 608.492188 1557948088.9458
MEM 456.660156 1557948089.0670
MEM 306.445312 1557948089.1881
MEM 490.656250 1557948089.3093
MEM 426.441406 1557948089.4323
MEM 616.355469 1557948089.5507
MEM 463.890625 1557948089.6659
MEM 282.445312 1557948089.7808
MEM 440.656250 1557948089.8957
MEM 607.093750 1557948090.0110
MEM 550.355469 1557948090.1260
MEM 555.664062 1557948090.2413
MEM 154.296875 1557948090.3562
MEM 484.515625 1557948090.4723
MEM 607.093750 1557948090.5879
MEM 610.734375 1557948090.7036
MEM 571.175781 1557948090.8193
MEM 278.449219 1557948090.9342
MEM 274.597656 1557948091.0490
MEM 607.097656 1557948091.1648
MEM 607.101562 1557948091.2812
MEM 534.800781 1557948091.3963
MEM 158.300781 1557948091.5113
MEM 156.449219 1557948091.6263
MEM 564.660156 1557948091.7415
MEM 472.445312 1557948091.8575
MEM 504.285156 1557948091.9728
MEM 540.925781 1557948092.0879
MEM 280.449219 1557948092.2029
MEM 436.660156 1557948092.3178
MEM 611.097656 1557948092.4341
MEM 550.359375 1557948092.5492
MEM 575.316406 1557948092.6645
